Origin,m/z exp.,Chem. Formula,m/z calc.,m/z error (ppm),Ion type
P7,245.082033,C14H14O4,245.081932,-0.4108,[M-H]-
P7,629.150201,C30H30O15,629.151194,1.5781,[M-H]-
P7,525.124017,C23H26O14,525.124979,1.8324,[M-H]-
P7,375.119872,C18H20N2O7,375.119775,-0.26,[M-H]-
P7,523.144721,C24H28O13,523.145715,1.8998,[M-H]-
P7,469.223618,C27H34O7,469.223177,-0.9388,[M-H]-
P7,353.124135,C17H22O8,353.124191,0.1587,[M-H]-
P7,489.06678,C22H18O13,489.067464,1.3999,[M-H]-
P7,395.098067,C18H20O10,395.09837,0.7677,[M-H]-
P7,267.050975,C12H12O7,267.051026,0.1925,[M-H]-
P7,309.134255,C16H22O6,309.134362,0.3463,[M-H]-
P7,427.197918,C21H32O9,427.197356,-1.3158,[M-H]-
P7,623.103721,C30H24O15,623.104244,0.8388,[M-H]-
P7,325.035189,C17H10O7,325.035376,0.5766,[M-H]-
P7,503.082113,C23H20O13,503.083114,1.9912,[M-H]-
P7,381.192139,C20H30O7,381.191877,-0.6864,[M-H]-
P7,311.056082,C17H12O6,311.056112,0.0958,[M-H]-
P7,267.123845,C14H20O5,267.123797,-0.1775,[M-H]-
P7,523.217402,C26H36O11,523.218486,2.0717,[M-H]-
P7,377.233573,C22H34O5,377.233348,-0.5978,[M-H]-
P7,419.17129,C22H28O8,419.171141,-0.3549,[M-H]-
P7,495.187046,C24H32O11,495.187185,0.2819,[M-H]-
P7,271.097605,C16H16O4,271.097583,-0.0833,[M-H]-
P7,317.139293,C18H22O5,317.139447,0.4871,[M-H]-
P7,485.035016,C22H14O13,485.036164,2.3675,[M-H]-
P7,303.051074,C15H12O7,303.051026,-0.1569,[M-H]-
P7,319.155021,C18H24O5,319.155097,0.2403,[M-H]-
P7,381.082561,C17H18O10,381.08272,0.4194,[M-H]-
P7,409.077762,C18H18O11,409.077635,-0.311,[M-H]-
P7,453.083505,C23H18O10,453.08272,-1.7325,[M-H]-
P7,461.146075,C23H26O10,461.145321,-1.6356,[M-H]-
P7,267.066265,C16H12O4,267.066282,0.0658,[M-H]-
P7,509.071549,C25H18O12,509.07255,1.9658,[M-H]-
P7,427.052217,C17H16O13,427.051814,-0.9424,[M-H]-
P7,225.055751,C14H10O3,225.055718,-0.147,[M-H]-
P7,471.150284,C21H28O12,471.1508,1.0952,[M-H]-
P7,355.045983,C18H12O8,355.045941,-0.1184,[M-H]-
P7,353.215596,C20H34O3S,353.215589,-0.0195,[M-H]-
P7,313.107979,C18H18O5,313.108147,0.5386,[M-H]-
P7,557.165883,C28H30O12,557.16645,1.0176,[M-H]-
P7,429.067547,C17H18O13,429.067464,-0.1927,[M-H]-
P7,499.217995,C24H36O11,499.218486,0.9835,[M-H]-
P7,201.019294,C11H6O4,201.019332,0.1912,[M-H]-
P7,327.08734,C18H16O6,327.087412,0.2189,[M-H]-
P7,475.160329,C24H28O10,475.160971,1.351,[M-H]-
P7,599.161171,C26H32O16,599.161759,0.9806,[M-H]-
P7,501.102881,C24H22O12,501.10385,1.9322,[M-H]-
P7,457.077652,C22H18O11,457.077635,-0.038,[M-H]-
P7,397.113737,C18H22O10,397.11402,0.7137,[M-H]-
P7,467.083021,C20H20O13,467.083114,0.1996,[M-H]-
P7,471.165463,C25H28O9,471.166056,1.2579,[M-H]-
P7,333.109193,C16H18N2O6,333.10921,0.0516,[M-H]-
P7,497.129073,C22H26O13,497.130064,1.9945,[M-H]-
P7,331.045827,C16H12O8,331.045941,0.3446,[M-H]-
P7,499.124385,C25H24O11,499.124585,0.4014,[M-H]-
P7,509.071549,C25H18O12,509.07255,1.9658,[M-H]-
P7,313.035309,C16H10O7,313.035376,0.2157,[M-H]-
P7,309.061605,C14H14O8,309.061591,-0.0456,[M-H]-
P7,449.109386,C21H22O11,449.108935,-1.0032,[M-H]-
P7,559.108725,C26H24O14,559.109329,1.0795,[M-H]-
P7,353.030404,C18H10O8,353.030291,-0.3213,[M-H]-
P7,363.145012,C19H24O7,363.144927,-0.236,[M-H]-
P7,343.118756,C19H20O6,343.118712,-0.1285,[M-H]-
P7,551.104705,C24H24O15,551.104244,-0.8371,[M-H]-
P7,425.124922,C23H22O8,425.124191,-1.7186,[M-H]-
P7,573.124471,C27H26O14,573.124979,0.8865,[M-H]-
P7,219.03001,C11H8O5,219.029897,-0.5167,[M-H]-
P7,511.072704,C21H20O15,511.072944,0.4683,[M-H]-
P7,517.098065,C24H22O13,517.098764,1.3523,[M-H]-
P7,371.113727,C20H20O7,371.113627,-0.2695,[M-H]-
P7,489.139628,C24H26O11,489.140235,1.2414,[M-H]-
P7,369.119081,C17H22O9,369.119106,-0.0662,[M-H]-
P7,501.285081,C29H42O7,501.285777,1.3881,[M-H]-
P7,303.051074,C15H12O7,303.051026,-0.1569,[M-H]-
P7,373.150446,C17H26O9,373.150406,-0.1066,[M-H]-
P7,581.223831,C28H38O13,581.223965,0.2303,[M-H]-
P7,321.061379,C15H14O8,321.061591,0.6593,[M-H]-
P7,373.129206,C20H22O7,373.129277,0.189,[M-H]-
P7,429.103907,C18H22O12,429.10385,-0.134,[M-H]-
P7,507.113337,C23H24O13,507.114414,2.125,[M-H]-
P7,405.22843,C23H34O6,405.228262,-0.413,[M-H]-
P7,401.123937,C21H22O8,401.124191,0.6337,[M-H]-
P7,479.083351,C21H20O13,479.083114,-0.4943,[M-H]-
P7,343.045985,C17H12O8,343.045941,-0.1292,[M-H]-
P7,397.150127,C19H26O9,397.150406,0.7017,[M-H]-
P7,359.150192,C20H24O6,359.150012,-0.4997,[M-H]-
P7,229.050783,C13H10O4,229.050632,-0.6564,[M-H]-
P7,521.201475,C26H34O11,521.202835,2.6096,[M-H]-
P7,407.134564,C20H24O9,407.134756,0.4705,[M-H]-
P7,389.196738,C22H30O6,389.196962,0.5762,[M-H]-
P7,423.109321,C23H20O8,423.108541,-1.8434,[M-H]-
P7,319.082241,C16H16O7,319.082326,0.2683,[M-H]-
P7,333.134303,C18H22O6,333.134362,0.1778,[M-H]-
P7,361.093179,C18H18O8,361.092891,-0.7979,[M-H]-
P7,371.170996,C18H28O8,371.171141,0.3924,[M-H]-
P7,413.087835,C21H18O9,413.087806,-0.071,[M-H]-
P7,397.092697,C21H18O8,397.092891,0.489,[M-H]-
P7,215.035016,C12H8O4,215.034982,-0.158,[M-H]-
P7,417.191781,C23H30O7,417.191877,0.2305,[M-H]-
P7,433.041269,C19H14O12,433.041249,-0.0455,[M-H]-
P7,263.019773,C12H8O7,263.019726,-0.1789,[M-H]-
P7,389.123919,C20H22O8,389.124191,0.7004,[M-H]-
P7,295.04593,C13H12O8,295.045941,0.0378,[M-H]-
P7,329.030193,C16H10O8,329.030291,0.2981,[M-H]-
P7,537.067119,C26H18O13,537.067464,0.643,[M-H]-
P7,361.129529,C19H22O7,361.129277,-0.6998,[M-H]-
P7,527.139454,C23H28O14,527.140629,2.2298,[M-H]-
P7,395.061817,C17H16O11,395.061985,0.4251,[M-H]-
P7,353.087805,C16H18O9,353.087806,0.0025,[M-H]-
P7,499.087875,C24H20O12,499.0882,0.6507,[M-H]-
P7,411.108564,C22H20O8,411.108541,-0.0546,[M-H]-
P7,331.093507,C16H16N2O6,331.09356,0.1596,[M-H]-
P7,349.056522,C16H14O9,349.056506,-0.0473,[M-H]-
P7,373.077577,C15H18O11,373.077635,0.1555,[M-H]-
P7,387.108312,C20H20O8,387.108541,0.5921,[M-H]-
P7,605.222851,C30H38O13,605.223965,1.8404,[M-H]-
P7,469.15078,C25H26O9,469.150406,-0.7968,[M-H]-
P7,385.056562,C19H14O9,385.056506,-0.1455,[M-H]-
P7,499.124385,C25H24O11,499.124585,0.4014,[M-H]-
P7,433.15052,C22H26O9,433.150406,-0.2623,[M-H]-
P7,611.197611,C28H36O15,611.198144,0.8721,[M-H]-
P7,499.109275,C21H24O14,499.109329,0.1085,[M-H]-
P7,489.249446,C27H38O8,489.249392,-0.1102,[M-H]-
P7,245.082033,C14H14O4,245.081932,-0.4108,[M-H]-
P7,325.056369,C14H14O9,325.056506,0.4208,[M-H]-
P7,613.119421,C29H26O15,613.119894,0.771,[M-H]-
P7,453.083505,C23H18O10,453.08272,-1.7325,[M-H]-
P7,337.129172,C17H22O7,337.129277,0.3093,[M-H]-
P7,551.118875,C28H24O12,551.1195,1.1331,[M-H]-
P7,339.035607,C14H12O10,339.03577,0.4817,[M-H]-
P7,341.066695,C18H14O7,341.066676,-0.0553,[M-H]-
P7,525.197728,C25H34O12,525.19775,0.0424,[M-H]-
P7,473.035587,C21H14O13,473.036164,1.2195,[M-H]-
P7,439.197673,C22H32O9,439.197356,-0.7209,[M-H]-
P7,579.244361,C29H40O12,579.2447,0.5858,[M-H]-
P7,487.087717,C23H20O12,487.0882,0.9904,[M-H]-
P7,455.062476,C22H16O11,455.061985,-1.0784,[M-H]-
P7,525.124017,C23H26O14,525.124979,1.8324,[M-H]-
P7,259.061241,C14H12O5,259.061197,-0.1708,[M-H]-
P7,361.056699,C17H14O9,361.056506,-0.536,[M-H]-
P7,503.118413,C24H24O12,503.1195,2.1609,[M-H]-
P7,379.103528,C18H20O9,379.103456,-0.19,[M-H]-
P7,593.114981,C26H26O16,593.114808,-0.2911,[M-H]-
P7,581.188911,C27H34O14,581.187579,-2.2913,[M-H]-
P7,469.078082,C23H18O11,469.077635,-0.9532,[M-H]-
P7,259.097561,C15H16O4,259.097583,0.0824,[M-H]-
P7,525.124017,C23H26O14,525.124979,1.8324,[M-H]-
P7,377.124075,C19H22O8,377.124191,0.3074,[M-H]-
P7,569.093271,C27H22O14,569.093679,0.7169,[M-H]-
P7,545.239701,C29H38O10,545.239221,-0.8797,[M-H]-
P7,237.113367,C13H18O4,237.113233,-0.5675,[M-H]-
P7,395.076507,C21H16O8,395.077241,1.8579,[M-H]-
P7,447.202886,C24H32O8,447.202442,-0.994,[M-H]-
P7,475.087881,C22H20O12,475.0882,0.6698,[M-H]-
P7,435.166056,C22H28O9,435.166056,-0.0005,[M-H]-
P7,407.243956,C23H36O6,407.243912,-0.108,[M-H]-
P7,281.066648,C13H14O7,281.066676,0.1021,[M-H]-
P7,363.108602,C18H20O8,363.108541,-0.1685,[M-H]-
P7,503.118413,C24H24O12,503.1195,2.1609,[M-H]-
P7,535.146223,C25H28O13,535.145715,-0.9509,[M-H]-
P7,407.134564,C20H24O9,407.134756,0.4705,[M-H]-
P7,247.024869,C12H8O6,247.024812,-0.2325,[M-H]-
P7,377.124075,C19H22O8,377.124191,0.3074,[M-H]-
