Origin,m/z exp.,Chem. Formula,m/z calc.,m/z error (ppm),Ion type
HR-3,205.05071,C11H10O4,205.050632,0.3776,[M-H]-
HR-3,205.05071,C11H10O4,205.050632,0.3776,[M-H]-
HR-3,205.05071,C11H10O4,205.050632,0.3776,[M-H]-
HR-3,205.05071,C11H10O4,205.050632,0.3776,[M-H]-
HR-3,205.05071,C11H10O4,205.050632,0.3776,[M-H]-
HR-3,205.05071,C11H10O4,205.050632,0.3776,[M-H]-
HR-3,205.05071,C11H10O4,205.050632,0.3776,[M-H]-
HR-3,205.05071,C11H10O4,205.050632,0.3776,[M-H]-
HR-3,207.029925,C10H8O5,207.029897,0.137,[M-H]-
HR-3,207.029925,C10H8O5,207.029897,0.137,[M-H]-
HR-3,207.029925,C10H8O5,207.029897,0.137,[M-H]-
HR-3,207.029925,C10H8O5,207.029897,0.137,[M-H]-
HR-3,207.066315,C11H12O4,207.066282,0.1583,[M-H]-
HR-3,207.066315,C11H12O4,207.066282,0.1583,[M-H]-
HR-3,207.066315,C11H12O4,207.066282,0.1583,[M-H]-
HR-3,207.066315,C11H12O4,207.066282,0.1583,[M-H]-
HR-3,207.066315,C11H12O4,207.066282,0.1583,[M-H]-
HR-3,207.066315,C11H12O4,207.066282,0.1583,[M-H]-
HR-3,209.08196,C11H14O4,209.081932,0.1337,[M-H]-
HR-3,209.08196,C11H14O4,209.081932,0.1337,[M-H]-
HR-3,209.08196,C11H14O4,209.081932,0.1337,[M-H]-
HR-3,209.08196,C11H14O4,209.081932,0.1337,[M-H]-
HR-3,209.08196,C11H14O4,209.081932,0.1337,[M-H]-
HR-3,209.08196,C11H14O4,209.081932,0.1337,[M-H]-
HR-3,209.08196,C11H14O4,209.081932,0.1337,[M-H]-
HR-3,209.08196,C11H14O4,209.081932,0.1337,[M-H]-
HR-3,209.08196,C11H14O4,209.081932,0.1337,[M-H]-
HR-3,209.08196,C11H14O4,209.081932,0.1337,[M-H]-
HR-3,211.061146,C10H12O5,211.061197,-0.2434,[M-H]-
HR-3,211.061146,C10H12O5,211.061197,-0.2434,[M-H]-
