Origin,m/z exp.,Chem. Formula,m/z calc.,m/z error (ppm),Ion type
HR-4,187.097618,C9H16O4,187.097583,0.1895,[M-H]-
HR-4,187.097618,C9H16O4,187.097583,0.1895,[M-H]-
HR-4,187.097618,C9H16O4,187.097583,0.1895,[M-H]-
HR-4,191.071398,C11H12O3,191.071368,0.1581,[M-H]-
HR-4,191.071398,C11H12O3,191.071368,0.1581,[M-H]-
HR-4,191.071398,C11H12O3,191.071368,0.1581,[M-H]-
HR-4,193.050698,C10H10O4,193.050632,0.34,[M-H]-
HR-4,193.050698,C10H10O4,193.050632,0.34,[M-H]-
HR-4,193.050698,C10H10O4,193.050632,0.34,[M-H]-
HR-4,193.050698,C10H10O4,193.050632,0.34,[M-H]-
HR-4,193.050698,C10H10O4,193.050632,0.34,[M-H]-
HR-4,193.087088,C11H14O3,193.087018,0.3632,[M-H]-
HR-4,193.087088,C11H14O3,193.087018,0.3632,[M-H]-
HR-4,193.087088,C11H14O3,193.087018,0.3632,[M-H]-
HR-4,193.087088,C11H14O3,193.087018,0.3632,[M-H]-
HR-4,193.087088,C11H14O3,193.087018,0.3632,[M-H]-
HR-4,193.087088,C11H14O3,193.087018,0.3632,[M-H]-
HR-4,193.087088,C11H14O3,193.087018,0.3632,[M-H]-
HR-4,193.087088,C11H14O3,193.087018,0.3632,[M-H]-
HR-4,201.113258,C10H18O4,201.113233,0.1263,[M-H]-
HR-4,201.113258,C10H18O4,201.113233,0.1263,[M-H]-
HR-4,201.113258,C10H18O4,201.113233,0.1263,[M-H]-
HR-4,201.113258,C10H18O4,201.113233,0.1263,[M-H]-
HR-4,203.071378,C12H12O3,203.071368,0.0515,[M-H]-
HR-4,203.071378,C12H12O3,203.071368,0.0515,[M-H]-
HR-4,203.071378,C12H12O3,203.071368,0.0515,[M-H]-
HR-4,203.071378,C12H12O3,203.071368,0.0515,[M-H]-
HR-4,203.071378,C12H12O3,203.071368,0.0515,[M-H]-
HR-4,205.050659,C11H10O4,205.050632,0.1275,[M-H]-
HR-4,205.050659,C11H10O4,205.050632,0.1275,[M-H]-
HR-4,205.050659,C11H10O4,205.050632,0.1275,[M-H]-
HR-4,205.050659,C11H10O4,205.050632,0.1275,[M-H]-
HR-4,205.050659,C11H10O4,205.050632,0.1275,[M-H]-
HR-4,205.050659,C11H10O4,205.050632,0.1275,[M-H]-
HR-4,205.087069,C12H14O3,205.087018,0.247,[M-H]-
HR-4,205.087069,C12H14O3,205.087018,0.247,[M-H]-
HR-4,205.087069,C12H14O3,205.087018,0.247,[M-H]-
HR-4,205.087069,C12H14O3,205.087018,0.247,[M-H]-
HR-4,205.087069,C12H14O3,205.087018,0.247,[M-H]-
HR-4,205.087069,C12H14O3,205.087018,0.247,[M-H]-
HR-4,205.087069,C12H14O3,205.087018,0.247,[M-H]-
HR-4,205.087069,C12H14O3,205.087018,0.247,[M-H]-
HR-4,205.087069,C12H14O3,205.087018,0.247,[M-H]-
HR-4,207.029929,C10H8O5,207.029897,0.1538,[M-H]-
HR-4,207.029929,C10H8O5,207.029897,0.1538,[M-H]-
HR-4,207.029929,C10H8O5,207.029897,0.1538,[M-H]-
HR-4,207.029929,C10H8O5,207.029897,0.1538,[M-H]-
HR-4,207.029929,C10H8O5,207.029897,0.1538,[M-H]-
HR-4,207.066309,C11H12O4,207.066282,0.1272,[M-H]-
HR-4,207.066309,C11H12O4,207.066282,0.1272,[M-H]-
HR-4,207.066309,C11H12O4,207.066282,0.1272,[M-H]-
HR-4,207.066309,C11H12O4,207.066282,0.1272,[M-H]-
HR-4,207.102689,C12H16O3,207.102668,0.1006,[M-H]-
HR-4,207.102689,C12H16O3,207.102668,0.1006,[M-H]-
HR-4,207.102689,C12H16O3,207.102668,0.1006,[M-H]-
HR-4,207.102689,C12H16O3,207.102668,0.1006,[M-H]-
HR-4,207.102689,C12H16O3,207.102668,0.1006,[M-H]-
HR-4,207.102689,C12H16O3,207.102668,0.1006,[M-H]-
HR-4,207.102689,C12H16O3,207.102668,0.1006,[M-H]-
HR-4,207.102689,C12H16O3,207.102668,0.1006,[M-H]-
HR-4,207.102689,C12H16O3,207.102668,0.1006,[M-H]-
HR-4,207.102689,C12H16O3,207.102668,0.1006,[M-H]-
HR-4,209.045579,C10H10O5,209.045547,0.1531,[M-H]-
HR-4,209.045579,C10H10O5,209.045547,0.1531,[M-H]-
HR-4,209.045579,C10H10O5,209.045547,0.1531,[M-H]-
HR-4,209.045579,C10H10O5,209.045547,0.1531,[M-H]-
HR-4,209.045579,C10H10O5,209.045547,0.1531,[M-H]-
HR-4,209.081959,C11H14O4,209.081932,0.1268,[M-H]-
HR-4,209.081959,C11H14O4,209.081932,0.1268,[M-H]-
HR-4,209.081959,C11H14O4,209.081932,0.1268,[M-H]-
HR-4,209.081959,C11H14O4,209.081932,0.1268,[M-H]-
HR-4,209.081959,C11H14O4,209.081932,0.1268,[M-H]-
HR-4,209.081959,C11H14O4,209.081932,0.1268,[M-H]-
HR-4,209.081959,C11H14O4,209.081932,0.1268,[M-H]-
HR-4,211.097599,C11H16O4,211.097583,0.079,[M-H]-
