Origin,m/z exp.,Chem. Formula,m/z calc.,m/z error (ppm),Ion type
SRFA2 21 T,227.05602,C10H12O6,227.056112,0.4037,
SRFA2 21 T,227.07128,C14H12O3,227.071368,0.3867,
SRFA2 21 T,227.09241,C11H16O5,227.092497,0.3839,
SRFA2 21 T,227.10766,C15H16O2,227.107753,0.4108,
SRFA2 21 T,229.01415,C12H6O5,229.014247,0.4229,
SRFA2 21 T,229.03528,C9H10O7,229.035376,0.4201,
SRFA2 21 T,229.05054,C13H10O4,229.050632,0.4032,
SRFA2 21 T,229.07167,C10H14O6,229.071762,0.4004,
SRFA2 21 T,229.08692,C14H14O3,229.087018,0.4272,
SRFA2 21 T,229.12331,C15H18O2,229.123403,0.4075,
SRFA2 21 T,230.99342,C11H4O6,230.993511,0.3957,
SRFA2 21 T,231.0298,C12H8O5,231.029897,0.4195,
SRFA2 21 T,231.05093,C9H12O7,231.051026,0.4167,
SRFA2 21 T,231.06618,C13H12O4,231.066282,0.4433,
SRFA2 21 T,231.10257,C14H16O3,231.102668,0.4237,
SRFA2 21 T,231.13895,C15H20O2,231.139053,0.4475,
SRFA2 21 T,233.00907,C11H6O6,233.009161,0.3926,
SRFA2 21 T,233.04545,C12H10O5,233.045547,0.4161,
SRFA2 21 T,233.08184,C13H14O4,233.081932,0.3968,
SRFA2 21 T,233.11822,C14H18O3,233.118318,0.4204,
SRFA2 21 T,233.15461,C15H22O2,233.154703,0.401,
SRFA2 21 T,234.0407,C11H9NO5,234.040796,0.41,
SRFA2 21 T,234.98832,C10H4O7,234.988426,0.4512,
SRFA2 21 T,235.02471,C11H8O6,235.024812,0.432,
SRFA2 21 T,235.03998,C15H8O3,235.040068,0.373,
SRFA2 21 T,235.0611,C12H12O5,235.061197,0.4128,
SRFA2 21 T,235.09748,C13H16O4,235.097583,0.4362,
SRFA2 21 T,235.13386,C14H20O3,235.133968,0.4596,
SRFA2 21 T,237.00398,C10H6O7,237.004076,0.4055,
SRFA2 21 T,237.01925,C14H6O4,237.019332,0.3469,
SRFA2 21 T,237.04036,C11H10O6,237.040462,0.4286,
SRFA2 21 T,237.05562,C15H10O3,237.055718,0.4123,
SRFA2 21 T,237.07674,C12H14O5,237.076847,0.4518,
SRFA2 21 T,237.09199,C16H14O2,237.092103,0.4776,
SRFA2 21 T,237.11312,C13H18O4,237.113233,0.4749,
SRFA2 21 T,239.01962,C10H8O7,239.019726,0.4441,
SRFA2 21 T,239.03488,C14H8O4,239.034982,0.4279,
SRFA2 21 T,239.05601,C11H12O6,239.056112,0.4253,
SRFA2 21 T,239.07127,C15H12O3,239.071368,0.4091,
SRFA2 21 T,239.0924,C12H16O5,239.092497,0.4064,
SRFA2 21 T,239.10766,C16H16O2,239.107753,0.3902,
SRFA2 21 T,239.12878,C13H20O4,239.128883,0.4294,
SRFA2 21 T,240.99889,C9H6O8,240.998991,0.4179,
SRFA2 21 T,241.01414,C13H6O5,241.014247,0.4433,
SRFA2 21 T,241.03527,C10H10O7,241.035376,0.4407,
SRFA2 21 T,241.05053,C14H10O4,241.050632,0.4246,
SRFA2 21 T,241.07166,C11H14O6,241.071762,0.422,
SRFA2 21 T,241.08692,C15H14O3,241.087018,0.4059,
SRFA2 21 T,241.10804,C12H18O5,241.108147,0.4448,
SRFA2 21 T,241.12329,C16H18O2,241.123403,0.4702,
SRFA2 21 T,243.0298,C13H8O5,243.029897,0.3988,
SRFA2 21 T,243.05092,C10H12O7,243.051026,0.4373,
SRFA2 21 T,243.06618,C14H12O4,243.066282,0.4214,
SRFA2 21 T,243.08731,C11H16O6,243.087412,0.4188,
SRFA2 21 T,243.10256,C15H16O3,243.102668,0.444,
SRFA2 21 T,243.13895,C16H20O2,243.139053,0.4254,
SRFA2 21 T,245.00906,C12H6O6,245.009161,0.4142,
SRFA2 21 T,245.04544,C13H10O5,245.045547,0.4366,
SRFA2 21 T,245.06658,C10H14O7,245.066676,0.3932,
SRFA2 21 T,245.08183,C14H14O4,245.081932,0.4182,
SRFA2 21 T,245.11822,C15H18O3,245.118318,0.3998,
SRFA2 21 T,245.1546,C16H22O2,245.154703,0.4222,
SRFA2 21 T,246.98831,C11H4O7,246.988426,0.4698,
SRFA2 21 T,247.0247,C12H8O6,247.024812,0.4515,
SRFA2 21 T,247.03997,C16H8O3,247.040068,0.3954,
SRFA2 21 T,247.04583,C9H12O8,247.045941,0.4489,
SRFA2 21 T,247.06109,C13H12O5,247.061197,0.4333,
SRFA2 21 T,247.09748,C14H16O4,247.097583,0.415,
SRFA2 21 T,247.13386,C15H20O3,247.133968,0.4372,
SRFA2 21 T,248.05635,C12H11NO5,248.056446,0.3871,
SRFA2 21 T,249.00396,C11H6O7,249.004076,0.4662,
SRFA2 21 T,249.04036,C12H10O6,249.040462,0.408,
SRFA2 21 T,249.05561,C16H10O3,249.055718,0.4326,
SRFA2 21 T,249.07674,C13H14O5,249.076847,0.43,
SRFA2 21 T,249.11312,C14H18O4,249.113233,0.4521,
SRFA2 21 T,249.14952,C15H22O3,249.149618,0.3938,
SRFA2 21 T,250.98324,C10H4O8,250.983341,0.401,
SRFA2 21 T,251.01962,C11H8O7,251.019726,0.4229,
SRFA2 21 T,251.03487,C15H8O4,251.034982,0.4473,
SRFA2 21 T,251.056,C12H12O6,251.056112,0.4448,
SRFA2 21 T,251.07126,C16H12O3,251.071368,0.4294,
SRFA2 21 T,251.09239,C13H16O5,251.092497,0.4268,
SRFA2 21 T,251.10764,C17H16O2,251.107753,0.4512,
SRFA2 21 T,251.12877,C14H20O4,251.128883,0.4487,
SRFA2 21 T,252.05122,C11H11NO6,252.051361,0.558,
SRFA2 21 T,252.99888,C10H6O8,252.998991,0.4376,
SRFA2 21 T,253.01414,C14H6O5,253.014247,0.4223,
SRFA2 21 T,253.03527,C11H10O7,253.035376,0.4198,
SRFA2 21 T,253.05052,C15H10O4,253.050632,0.444,
SRFA2 21 T,253.07165,C12H14O6,253.071762,0.4415,
SRFA2 21 T,253.08691,C16H14O3,253.087018,0.4262,
SRFA2 21 T,253.10804,C13H18O5,253.108147,0.4237,
