Origin,m/z exp.,Chem. Formula,m/z calc.,m/z error (ppm),Ion type
HR-2 21 T,175.040068,C10H8O3,175.040068,0.0019,[M-H]-
HR-2 21 T,175.076458,C11H12O2,175.076453,0.0275,[M-H]-
HR-2 21 T,177.019338,C9H6O4,177.019332,0.0326,[M-H]-
HR-2 21 T,177.092128,C11H14O2,177.092103,0.1398,[M-H]-
HR-2 21 T,181.050648,C9H10O4,181.050632,0.0864,[M-H]-
HR-2 21 T,181.087048,C10H14O3,181.087018,0.1664,[M-H]-
HR-2 21 T,183.066278,C9H12O4,183.066282,-0.0242,[M-H]-
HR-2 21 T,183.102678,C10H16O3,183.102668,0.055,[M-H]-
HR-2 21 T,185.060808,C12H10O2,185.060803,0.0264,[M-H]-
HR-2 21 T,185.118328,C10H18O3,185.118318,0.0541,[M-H]-
HR-2 21 T,185.154708,C11H22O2,185.154703,0.0243,[M-H]-
HR-2 21 T,189.092108,C12H14O2,189.092103,0.0252,[M-H]-
HR-2 21 T,191.107768,C12H16O2,191.107753,0.0769,[M-H]-
HR-2 21 T,193.087038,C11H14O3,193.087018,0.1043,[M-H]-
HR-2 21 T,195.066318,C10H12O4,195.066282,0.1824,[M-H]-
HR-2 21 T,195.102668,C11H16O3,195.102668,0.0004,[M-H]-
HR-2 21 T,197.081938,C10H14O4,197.081932,0.028,[M-H]-
HR-2 21 T,197.154698,C12H22O2,197.154703,-0.0279,[M-H]-
HR-2 21 T,199.040078,C12H8O3,199.040068,0.0519,[M-H]-
HR-2 21 T,199.076458,C13H12O2,199.076453,0.0242,[M-H]-
HR-2 21 T,199.170358,C12H24O2,199.170354,0.0223,[M-H]-
HR-2 21 T,201.055718,C12H10O3,201.055718,0.0013,[M-H]-
HR-2 21 T,201.092108,C13H14O2,201.092103,0.0238,[M-H]-
HR-2 21 T,203.03498,C11H8O4,203.034982,-0.0132,[M-H]-
HR-2 21 T,203.07136,C12H12O3,203.071368,-0.0401,[M-H]-
HR-2 21 T,203.10776,C13H16O2,203.107753,0.0314,[M-H]-
HR-2 21 T,205.050631,C11H10O4,205.050632,-0.005,[M-H]-
HR-2 21 T,205.087011,C12H14O3,205.087018,-0.0317,[M-H]-
HR-2 21 T,205.123401,C13H18O2,205.123403,-0.0097,[M-H]-
HR-2 21 T,207.029883,C10H8O5,207.029897,-0.067,[M-H]-
HR-2 21 T,207.066283,C11H12O4,207.066282,0.0032,[M-H]-
HR-2 21 T,207.102663,C12H16O3,207.102668,-0.0233,[M-H]-
HR-2 21 T,207.139053,C13H20O2,207.139053,-0.0014,[M-H]-
HR-2 21 T,209.045555,C10H10O5,209.045547,0.0375,[M-H]-
HR-2 21 T,209.060795,C14H10O2,209.060803,-0.0396,[M-H]-
HR-2 21 T,209.081935,C11H14O4,209.081932,0.0114,[M-H]-
HR-2 21 T,209.118315,C12H18O3,209.118318,-0.0148,[M-H]-
HR-2 21 T,211.040077,C13H8O3,211.040068,0.0423,[M-H]-
HR-2 21 T,211.061197,C10H12O5,211.061197,-0.002,[M-H]-
HR-2 21 T,211.076457,C14H12O2,211.076453,0.0164,[M-H]-
HR-2 21 T,211.097587,C11H16O4,211.097583,0.0195,[M-H]-
HR-2 21 T,211.133967,C12H20O3,211.133968,-0.0065,[M-H]-
HR-2 21 T,213.019348,C12H6O4,213.019332,0.0758,[M-H]-
HR-2 21 T,213.055718,C13H10O3,213.055718,0.0031,[M-H]-
HR-2 21 T,213.076848,C10H14O5,213.076847,0.0062,[M-H]-
HR-2 21 T,213.092108,C14H14O2,213.092103,0.0244,[M-H]-
HR-2 21 T,213.113238,C11H18O4,213.113233,0.0274,[M-H]-
HR-2 21 T,213.149618,C12H22O3,213.149618,0.0017,[M-H]-
HR-2 21 T,213.186009,C13H26O2,213.186004,0.023,[M-H]-
HR-2 21 T,215.03498,C12H8O4,215.034982,-0.0099,[M-H]-
HR-2 21 T,215.07137,C13H12O3,215.071368,0.0111,[M-H]-
HR-2 21 T,215.0925,C10H16O5,215.092497,0.0141,[M-H]-
HR-2 21 T,215.10775,C14H16O2,215.107753,-0.0143,[M-H]-
HR-2 21 T,217.050642,C12H10O4,217.050632,0.044,[M-H]-
HR-2 21 T,217.087022,C13H14O3,217.087018,0.0188,[M-H]-
HR-2 21 T,217.123402,C14H18O2,217.123403,-0.0064,[M-H]-
HR-2 21 T,219.029904,C11H8O5,219.029897,0.0305,[M-H]-
HR-2 21 T,219.066284,C12H12O4,219.066282,0.0055,[M-H]-
HR-2 21 T,219.102674,C13H16O3,219.102668,0.0261,[M-H]-
HR-2 21 T,219.139054,C14H20O2,219.139053,0.0011,[M-H]-
HR-2 21 T,221.009165,C10H6O6,221.009161,0.0169,[M-H]-
HR-2 21 T,221.045555,C11H10O5,221.045547,0.0373,[M-H]-
HR-2 21 T,221.060815,C15H10O2,221.060803,0.0549,[M-H]-
HR-2 21 T,221.081935,C12H14O4,221.081932,0.0126,[M-H]-
HR-2 21 T,221.118325,C13H18O3,221.118318,0.033,[M-H]-
HR-2 21 T,221.154705,C14H22O2,221.154703,0.0082,[M-H]-
HR-2 21 T,222.077176,C11H13NO4,222.077181,-0.0244,[M-H]-
HR-2 21 T,223.061207,C11H12O5,223.061197,0.0438,[M-H]-
HR-2 21 T,223.076457,C15H12O2,223.076453,0.0163,[M-H]-
HR-2 21 T,223.097587,C12H16O4,223.097583,0.0192,[M-H]-
HR-2 21 T,223.133977,C13H20O3,223.133968,0.0395,[M-H]-
HR-2 21 T,225.055728,C14H10O3,225.055718,0.0468,[M-H]-
HR-2 21 T,225.076848,C11H14O5,225.076847,0.0052,[M-H]-
HR-2 21 T,225.092108,C15H14O2,225.092103,0.0225,[M-H]-
HR-2 21 T,225.113238,C12H18O4,225.113233,0.0253,[M-H]-
HR-2 21 T,225.149628,C13H22O3,225.149618,0.0454,[M-H]-
HR-2 21 T,225.186008,C14H26O2,225.186004,0.021,[M-H]-
HR-2 21 T,227.03498,C13H8O4,227.034982,-0.0118,[M-H]-
HR-2 21 T,227.07137,C14H12O3,227.071368,0.0081,[M-H]-
HR-2 21 T,227.09251,C11H16O5,227.092497,0.055,[M-H]-
HR-2 21 T,227.10776,C15H16O2,227.107753,0.028,[M-H]-
HR-2 21 T,227.12889,C12H20O4,227.128883,0.0309,[M-H]-
HR-2 21 T,227.16527,C13H24O3,227.165268,0.0067,[M-H]-
HR-2 21 T,227.20166,C14H28O2,227.201654,0.0266,[M-H]-
HR-2 21 T,229.014251,C12H6O5,229.014247,0.0175,[M-H]-
HR-2 21 T,229.050641,C13H10O4,229.050632,0.0372,[M-H]-
HR-2 21 T,229.071771,C10H14O6,229.071762,0.04,[M-H]-
HR-2 21 T,229.087021,C14H14O3,229.087018,0.0133,[M-H]-
HR-2 21 T,229.108161,C11H18O5,229.108147,0.0597,[M-H]-
HR-2 21 T,229.123411,C15H18O2,229.123403,0.033,[M-H]-
HR-2 21 T,229.144551,C12H22O4,229.144533,0.0794,[M-H]-
HR-2 21 T,230.082291,C13H13NO3,230.082267,0.1071,[M-H]-
HR-2 21 T,231.029902,C12H8O5,231.029897,0.0219,[M-H]-
HR-2 21 T,231.066282,C13H12O4,231.066282,-0.0018,[M-H]-
HR-2 21 T,231.102672,C14H16O3,231.102668,0.0177,[M-H]-
HR-2 21 T,231.139052,C15H20O2,231.139053,-0.006,[M-H]-
HR-2 21 T,232.061543,C12H11NO4,232.061531,0.0479,[M-H]-
HR-2 21 T,232.097933,C13H15NO3,232.097917,0.0673,[M-H]-
HR-2 21 T,233.009173,C11H6O6,233.009161,0.0493,[M-H]-
HR-2 21 T,233.045553,C12H10O5,233.045547,0.0257,[M-H]-
HR-2 21 T,233.081943,C13H14O4,233.081932,0.0451,[M-H]-
HR-2 21 T,233.118323,C14H18O3,233.118318,0.0215,[M-H]-
HR-2 21 T,233.154713,C15H22O2,233.154703,0.0408,[M-H]-
HR-2 21 T,234.077193,C12H13NO4,234.077181,0.0511,[M-H]-
HR-2 21 T,235.024824,C11H8O6,235.024812,0.0523,[M-H]-
HR-2 21 T,235.040074,C15H8O3,235.040068,0.0262,[M-H]-
HR-2 21 T,235.061204,C12H12O5,235.061197,0.0289,[M-H]-
HR-2 21 T,235.076464,C16H12O2,235.076453,0.0454,[M-H]-
HR-2 21 T,235.097594,C13H16O4,235.097583,0.0481,[M-H]-
HR-2 21 T,235.133974,C14H20O3,235.133968,0.0247,[M-H]-
HR-2 21 T,235.170364,C15H24O2,235.170354,0.0439,[M-H]-
HR-2 21 T,236.092814,C12H15NO4,236.092832,-0.0732,[M-H]-
HR-2 21 T,237.040475,C11H10O6,237.040462,0.0548,[M-H]-
HR-2 21 T,237.055725,C15H10O3,237.055718,0.029,[M-H]-
HR-2 21 T,237.076855,C12H14O5,237.076847,0.0317,[M-H]-
HR-2 21 T,237.092115,C16H14O2,237.092103,0.048,[M-H]-
HR-2 21 T,237.113235,C13H18O4,237.113233,0.0085,[M-H]-
HR-2 21 T,237.149625,C14H22O3,237.149618,0.0275,[M-H]-
HR-2 21 T,238.072085,C11H13NO5,238.072096,-0.0467,[M-H]-
HR-2 21 T,239.034995,C14H8O4,239.034982,0.0543,[M-H]-
HR-2 21 T,239.056115,C11H12O6,239.056112,0.0151,[M-H]-
HR-2 21 T,239.071375,C15H12O3,239.071368,0.0313,[M-H]-
HR-2 21 T,239.092505,C12H16O5,239.092497,0.034,[M-H]-
HR-2 21 T,239.107765,C16H16O2,239.107753,0.0501,[M-H]-
HR-2 21 T,239.128885,C13H20O4,239.128883,0.011,[M-H]-
HR-2 21 T,239.165285,C14H24O3,239.165268,0.0716,[M-H]-
HR-2 21 T,239.201665,C15H28O2,239.201654,0.0486,[M-H]-
HR-2 21 T,241.050636,C14H10O4,241.050632,0.0146,[M-H]-
HR-2 21 T,241.071766,C11H14O6,241.071762,0.0172,[M-H]-
HR-2 21 T,241.087026,C15H14O3,241.087018,0.0332,[M-H]-
HR-2 21 T,241.108156,C12H18O5,241.108147,0.0359,[M-H]-
HR-2 21 T,241.123406,C16H18O2,241.123403,0.0104,[M-H]-
HR-2 21 T,241.144546,C13H22O4,241.144533,0.0545,[M-H]-
HR-2 21 T,241.180926,C14H26O3,241.180918,0.0317,[M-H]-
HR-2 21 T,241.217306,C15H30O2,241.217304,0.009,[M-H]-
HR-2 21 T,242.082276,C14H13NO3,242.082267,0.0384,[M-H]-
HR-2 21 T,243.029896,C13H8O5,243.029897,-0.0022,[M-H]-
HR-2 21 T,243.066286,C14H12O4,243.066282,0.0163,[M-H]-
HR-2 21 T,243.087426,C11H16O6,243.087412,0.0601,[M-H]-
HR-2 21 T,243.102676,C15H16O3,243.102668,0.0348,[M-H]-
HR-2 21 T,243.123806,C12H20O5,243.123797,0.0374,[M-H]-
HR-2 21 T,243.139056,C16H20O2,243.139053,0.0122,[M-H]-
HR-2 21 T,244.097927,C14H15NO3,244.097917,0.0399,[M-H]-
HR-2 21 T,245.009157,C12H6O6,245.009161,-0.0189,[M-H]-
HR-2 21 T,245.045547,C13H10O5,245.045547,-0.0006,[M-H]-
HR-2 21 T,245.081937,C14H14O4,245.081932,0.0178,[M-H]-
HR-2 21 T,245.118327,C15H18O3,245.118318,0.0362,[M-H]-
HR-2 21 T,245.154707,C16H22O2,245.154703,0.0137,[M-H]-
HR-2 21 T,246.077177,C13H13NO4,246.077181,-0.0179,[M-H]-
HR-2 21 T,246.113577,C14H17NO3,246.113567,0.041,[M-H]-
HR-2 21 T,247.024817,C12H8O6,247.024812,0.0231,[M-H]-
HR-2 21 T,247.061197,C13H12O5,247.061197,0.0008,[M-H]-
HR-2 21 T,247.097587,C14H16O4,247.097583,0.019,[M-H]-
HR-2 21 T,247.133977,C15H20O3,247.133968,0.0372,[M-H]-
HR-2 21 T,247.170357,C16H24O2,247.170354,0.015,[M-H]-
HR-2 21 T,248.092837,C13H15NO4,248.092832,0.0238,[M-H]-
HR-2 21 T,249.040468,C12H10O6,249.040462,0.0241,[M-H]-
HR-2 21 T,249.055728,C16H10O3,249.055718,0.0396,[M-H]-
HR-2 21 T,249.076848,C13H14O5,249.076847,0.002,[M-H]-
HR-2 21 T,249.092108,C17H14O2,249.092103,0.0175,[M-H]-
HR-2 21 T,249.113238,C14H18O4,249.113233,0.02,[M-H]-
HR-2 21 T,249.149618,C15H22O3,249.149618,-0.002,[M-H]-
HR-2 21 T,250.072118,C12H13NO5,250.072096,0.0867,[M-H]-
HR-2 21 T,250.108488,C13H17NO4,250.108482,0.0247,[M-H]-
HR-2 21 T,251.034988,C15H8O4,251.034982,0.0224,[M-H]-
HR-2 21 T,251.056118,C12H12O6,251.056112,0.0249,[M-H]-
HR-2 21 T,251.071378,C16H12O3,251.071368,0.0403,[M-H]-
HR-2 21 T,251.092498,C13H16O5,251.092497,0.003,[M-H]-
HR-2 21 T,251.107748,C17H16O2,251.107753,-0.0214,[M-H]-
HR-2 21 T,251.128888,C14H20O4,251.128883,0.0209,[M-H]-
HR-2 21 T,251.165268,C15H24O3,251.165268,-0.001,[M-H]-
HR-2 21 T,252.087748,C12H15NO5,252.087746,0.0077,[M-H]-
HR-2 21 T,253.035378,C11H10O7,253.035376,0.0079,[M-H]-
HR-2 21 T,253.050638,C15H10O4,253.050632,0.0232,[M-H]-
HR-2 21 T,253.071768,C12H14O6,253.071762,0.0256,[M-H]-
HR-2 21 T,253.087018,C16H14O3,253.087018,0.0014,[M-H]-
HR-2 21 T,253.108148,C13H18O5,253.108147,0.0039,[M-H]-
HR-2 21 T,253.123408,C17H18O2,253.123403,0.0192,[M-H]-
HR-2 21 T,253.144528,C14H22O4,253.144533,-0.0178,[M-H]-
HR-2 21 T,253.180928,C15H26O3,253.180918,0.0394,[M-H]-
HR-2 21 T,253.217308,C16H30O2,253.217304,0.0177,[M-H]-
HR-2 21 T,254.045888,C14H9NO4,254.045881,0.0277,[M-H]-
HR-2 21 T,254.082278,C15H13NO3,254.082267,0.0454,[M-H]-
HR-2 21 T,255.029898,C14H8O5,255.029897,0.0062,[M-H]-
HR-2 21 T,255.033278,C11H12O5S,255.033268,0.0422,[M-H]-
HR-2 21 T,255.051029,C11H12O7,255.051026,0.0087,[M-H]-
HR-2 21 T,255.066279,C15H12O4,255.066282,-0.0154,[M-H]-
HR-2 21 T,255.087419,C12H16O6,255.087412,0.0263,[M-H]-
HR-2 21 T,255.102669,C16H16O3,255.102668,0.0023,[M-H]-
HR-2 21 T,255.123799,C13H20O5,255.123797,0.0047,[M-H]-
HR-2 21 T,255.139059,C17H20O2,255.139053,0.0199,[M-H]-
HR-2 21 T,255.160179,C14H24O4,255.160183,-0.0168,[M-H]-
HR-2 21 T,255.196559,C15H28O3,255.196568,-0.0384,[M-H]-
HR-2 21 T,255.232959,C16H32O2,255.232954,0.0184,[M-H]-
HR-2 21 T,256.061549,C14H11NO4,256.061531,0.0674,[M-H]-
HR-2 21 T,256.097909,C15H15NO3,256.097917,-0.0322,[M-H]-
HR-2 21 T,257.045549,C14H10O5,257.045547,0.007,[M-H]-
HR-2 21 T,257.048909,C11H14O5S,257.048918,-0.0351,[M-H]-
HR-2 21 T,257.066659,C11H14O7,257.066676,-0.0683,[M-H]-
HR-2 21 T,257.081939,C15H14O4,257.081932,0.0245,[M-H]-
HR-2 21 T,257.103059,C12H18O6,257.103062,-0.0119,[M-H]-
HR-2 21 T,257.118319,C16H18O3,257.118318,0.0031,[M-H]-
HR-2 21 T,257.139449,C13H22O5,257.139447,0.0056,[M-H]-
HR-2 21 T,257.154699,C17H22O2,257.154703,-0.0183,[M-H]-
HR-2 21 T,257.175839,C14H26O4,257.175833,0.023,[M-H]-
HR-2 21 T,258.077199,C14H13NO4,258.077181,0.0677,[M-H]-
HR-2 21 T,258.113579,C15H17NO3,258.113567,0.0464,[M-H]-
HR-2 21 T,259.024809,C13H8O6,259.024812,-0.0096,[M-H]-
HR-2 21 T,259.061199,C14H12O5,259.061197,0.0078,[M-H]-
HR-2 21 T,259.064559,C11H16O5S,259.064568,-0.034,[M-H]-
HR-2 21 T,259.072439,C13H12N2O4,259.07243,0.0333,[M-H]-
HR-2 21 T,259.082319,C11H16O7,259.082326,-0.0284,[M-H]-
HR-2 21 T,259.097579,C15H16O4,259.097583,-0.0134,[M-H]-
HR-2 21 T,259.118709,C12H20O6,259.118712,-0.011,[M-H]-
HR-2 21 T,259.133969,C16H20O3,259.133968,0.0039,[M-H]-
HR-2 21 T,259.170349,C17H24O2,259.170354,-0.0173,[M-H]-
HR-2 21 T,260.056449,C13H11NO5,260.056446,0.0123,[M-H]-
HR-2 21 T,260.092829,C14H15NO4,260.092832,-0.0089,[M-H]-
HR-2 21 T,260.129229,C15H19NO3,260.129217,0.0469,[M-H]-
HR-2 21 T,261.004079,C12H6O7,261.004076,0.0125,[M-H]-
HR-2 21 T,261.040459,C13H10O6,261.040462,-0.0086,[M-H]-
HR-2 21 T,261.076849,C14H14O5,261.076847,0.0086,[M-H]-
HR-2 21 T,261.088079,C13H14N2O4,261.08808,-0.0043,[M-H]-
HR-2 21 T,261.113229,C15H18O4,261.113233,-0.0124,[M-H]-
HR-2 21 T,261.149619,C16H22O3,261.149618,0.0048,[M-H]-
HR-2 21 T,261.185989,C17H26O2,261.186004,-0.0545,[M-H]-
HR-2 21 T,262.07209,C13H13NO5,262.072096,-0.025,[M-H]-
HR-2 21 T,262.10848,C14H17NO4,262.108482,-0.0079,[M-H]-
HR-2 21 T,263.01973,C12H8O7,263.019726,0.0134,[M-H]-
HR-2 21 T,263.03498,C16H8O4,263.034982,-0.0099,[M-H]-
HR-2 21 T,263.03836,C13H12O4S,263.038353,0.025,[M-H]-
HR-2 21 T,263.05611,C13H12O6,263.056112,-0.0075,[M-H]-
HR-2 21 T,263.05949,C10H16O6S,263.059482,0.0274,[M-H]-
HR-2 21 T,263.07137,C17H12O3,263.071368,0.0072,[M-H]-
HR-2 21 T,263.0925,C14H16O5,263.092497,0.0096,[M-H]-
HR-2 21 T,263.10776,C18H16O2,263.107753,0.0243,[M-H]-
HR-2 21 T,263.12888,C15H20O4,263.128883,-0.0113,[M-H]-
HR-2 21 T,263.16527,C16H24O3,263.165268,0.0058,[M-H]-
HR-2 21 T,264.05136,C12H11NO6,264.051361,-0.003,[M-H]-
HR-2 21 T,264.06662,C16H11NO3,264.066617,0.0117,[M-H]-
HR-2 21 T,264.08775,C13H15NO5,264.087746,0.0141,[M-H]-
HR-2 21 T,264.12413,C14H19NO4,264.124132,-0.0067,[M-H]-
HR-2 21 T,265.03538,C12H10O7,265.035376,0.0144,[M-H]-
HR-2 21 T,265.05063,C16H10O4,265.050632,-0.0087,[M-H]-
HR-2 21 T,265.07176,C13H14O6,265.071762,-0.0064,[M-H]-
HR-2 21 T,265.083,C12H14N2O5,265.082995,0.0186,[M-H]-
HR-2 21 T,265.08701,C17H14O3,265.087018,-0.0295,[M-H]-
HR-2 21 T,265.10815,C14H18O5,265.108147,0.0106,[M-H]-
HR-2 21 T,265.1234,C18H18O2,265.123403,-0.0125,[M-H]-
HR-2 21 T,265.14453,C15H22O4,265.144533,-0.0101,[M-H]-
HR-2 21 T,265.1479,C12H26O4S,265.147904,-0.0132,[M-H]-
HR-2 21 T,265.18092,C16H26O3,265.180918,0.0069,[M-H]-
HR-2 21 T,266.04589,C15H9NO4,266.045881,0.0335,[M-H]-
HR-2 21 T,266.06701,C12H13NO6,266.067011,-0.0017,[M-H]-
HR-2 21 T,266.08226,C16H13NO3,266.082267,-0.0248,[M-H]-
HR-2 21 T,266.10339,C13H17NO5,266.103396,-0.0224,[M-H]-
HR-2 21 T,267.02989,C15H8O5,267.029897,-0.0243,[M-H]-
HR-2 21 T,267.03325,C12H12O5S,267.033268,-0.0648,[M-H]-
HR-2 21 T,267.05102,C12H12O7,267.051026,-0.0219,[M-H]-
HR-2 21 T,267.06628,C16H12O4,267.066282,-0.0074,[M-H]-
HR-2 21 T,267.07753,C15H12N2O3,267.077516,0.0548,[M-H]-
HR-2 21 T,267.08741,C13H16O6,267.087412,-0.005,[M-H]-
HR-2 21 T,267.09864,C12H16N2O5,267.098645,-0.0177,[M-H]-
HR-2 21 T,267.10267,C17H16O3,267.102668,0.0095,[M-H]-
HR-2 21 T,267.12379,C14H20O5,267.123797,-0.0256,[M-H]-
HR-2 21 T,267.13905,C18H20O2,267.139053,-0.0111,[M-H]-
HR-2 21 T,267.16018,C15H24O4,267.160183,-0.0088,[M-H]-
HR-2 21 T,267.19657,C16H28O3,267.196568,0.0081,[M-H]-
HR-2 21 T,267.23295,C17H32O2,267.232954,-0.0125,[M-H]-
HR-2 21 T,268.061531,C15H11NO4,268.061531,-0.0027,[M-H]-
HR-2 21 T,268.082651,C12H15NO6,268.082661,-0.0377,[M-H]-
HR-2 21 T,268.097911,C16H15NO3,268.097917,-0.0232,[M-H]-
HR-2 21 T,269.009171,C14H6O6,269.009161,0.035,[M-H]-
HR-2 21 T,269.030281,C11H10O8,269.030291,-0.037,[M-H]-
HR-2 21 T,269.045541,C15H10O5,269.045547,-0.0226,[M-H]-
HR-2 21 T,269.048921,C12H14O5S,269.048918,0.0115,[M-H]-
HR-2 21 T,269.066681,C12H14O7,269.066676,0.0169,[M-H]-
HR-2 21 T,269.081931,C16H14O4,269.081932,-0.0059,[M-H]-
HR-2 21 T,269.103061,C13H18O6,269.103062,-0.0035,[M-H]-
HR-2 21 T,269.118321,C17H18O3,269.118318,0.0109,[M-H]-
HR-2 21 T,269.139441,C14H22O5,269.139447,-0.024,[M-H]-
