Origin,m/z exp.,Chem. Formula,m/z calc.,m/z error (ppm),Ion type
HR-4 21 T,151.076458,C9H12O2,151.076453,0.0319,[M-H]-
HR-4 21 T,171.030058,C7H8O5,171.029897,0.9419,[M-H]-
HR-4 21 T,175.040078,C10H8O3,175.040068,0.059,[M-H]-
HR-4 21 T,175.076458,C11H12O2,175.076453,0.0275,[M-H]-
HR-4 21 T,177.019338,C9H6O4,177.019332,0.0326,[M-H]-
HR-4 21 T,177.055718,C10H10O3,177.055718,0.0015,[M-H]-
HR-4 21 T,177.092108,C11H14O2,177.092103,0.0269,[M-H]-
HR-4 21 T,183.029918,C8H8O5,183.029897,0.1152,[M-H]-
HR-4 21 T,183.139068,C11H20O2,183.139053,0.0795,[M-H]-
HR-4 21 T,185.027798,C8H10O3S,185.027788,0.0517,[M-H]-
HR-4 21 T,185.118308,C10H18O3,185.118318,-0.054,[M-H]-
HR-4 21 T,185.154708,C11H22O2,185.154703,0.0243,[M-H]-
HR-4 21 T,187.097588,C9H16O4,187.097583,0.0291,[M-H]-
HR-4 21 T,187.133948,C10H20O3,187.133968,-0.1072,[M-H]-
HR-4 21 T,189.092098,C12H14O2,189.092103,-0.0277,[M-H]-
HR-4 21 T,190.050948,C10H9NO3,190.050967,-0.0984,[M-H]-
HR-4 21 T,191.071398,C11H12O3,191.071368,0.1581,[M-H]-
HR-4 21 T,191.107758,C12H16O2,191.107753,0.0246,[M-H]-
HR-4 21 T,193.050638,C10H10O4,193.050632,0.0292,[M-H]-
HR-4 21 T,193.087028,C11H14O3,193.087018,0.0525,[M-H]-
HR-4 21 T,195.066298,C10H12O4,195.066282,0.0799,[M-H]-
HR-4 21 T,195.102688,C11H16O3,195.102668,0.1029,[M-H]-
HR-4 21 T,195.139058,C12H20O2,195.139053,0.0234,[M-H]-
HR-4 21 T,197.060808,C13H10O2,197.060803,0.0248,[M-H]-
HR-4 21 T,197.081948,C10H14O4,197.081932,0.0787,[M-H]-
HR-4 21 T,197.154718,C12H22O2,197.154703,0.0736,[M-H]-
HR-4 21 T,199.040068,C12H8O3,199.040068,0.0017,[M-H]-
HR-4 21 T,199.061198,C9H12O5,199.061197,0.0048,[M-H]-
HR-4 21 T,199.076448,C13H12O2,199.076453,-0.026,[M-H]-
HR-4 21 T,199.097598,C10H16O4,199.097583,0.0776,[M-H]-
HR-4 21 T,199.133968,C11H20O3,199.133968,-0.0003,[M-H]-
HR-4 21 T,199.170358,C12H24O2,199.170354,0.0223,[M-H]-
HR-4 21 T,201.055718,C12H10O3,201.055718,0.0013,[M-H]-
HR-4 21 T,201.092108,C13H14O2,201.092103,0.0237,[M-H]-
HR-4 21 T,201.113228,C10H18O4,201.113233,-0.0228,[M-H]-
HR-4 21 T,203.034979,C11H8O4,203.034982,-0.0166,[M-H]-
HR-4 21 T,203.071369,C12H12O3,203.071368,0.0056,[M-H]-
HR-4 21 T,203.107759,C13H16O2,203.107753,0.0278,[M-H]-
HR-4 21 T,205.05064,C11H10O4,205.050632,0.0366,[M-H]-
HR-4 21 T,205.08701,C12H14O3,205.087018,-0.0389,[M-H]-
HR-4 21 T,205.12341,C13H18O2,205.123403,0.0318,[M-H]-
HR-4 21 T,207.029891,C10H8O5,207.029897,-0.0296,[M-H]-
HR-4 21 T,207.066281,C11H12O4,207.066282,-0.0078,[M-H]-
