Origin,m/z exp.,Chem. Formula,m/z calc.,m/z error (ppm),Ion type
HR-3 21 T,175.040058,C10H8O3,175.040068,-0.0552,[M-H]-
HR-3 21 T,175.076448,C11H12O2,175.076453,-0.0296,[M-H]-
HR-3 21 T,177.092108,C11H14O2,177.092103,0.0269,[M-H]-
HR-3 21 T,181.050628,C9H10O4,181.050632,-0.0241,[M-H]-
HR-3 21 T,183.045148,C12H8O2,183.045153,-0.0276,[M-H]-
HR-3 21 T,185.060808,C12H10O2,185.060803,0.0264,[M-H]-
HR-3 21 T,187.097568,C9H16O4,187.097583,-0.0778,[M-H]-
HR-3 21 T,188.986418,C6H6O5S,188.986318,0.5316,[M-H]-
HR-3 21 T,189.019338,C10H6O4,189.019332,0.0305,[M-H]-
HR-3 21 T,189.092078,C12H14O2,189.092103,-0.1335,[M-H]-
HR-3 21 T,191.107758,C12H16O2,191.107753,0.0246,[M-H]-
HR-3 21 T,193.050628,C10H10O4,193.050632,-0.0226,[M-H]-
HR-3 21 T,193.087008,C11H14O3,193.087018,-0.0511,[M-H]-
HR-3 21 T,193.123398,C12H18O2,193.123403,-0.0278,[M-H]-
HR-3 21 T,195.102658,C11H16O3,195.102668,-0.0509,[M-H]-
HR-3 21 T,199.040078,C12H8O3,199.040068,0.0519,[M-H]-
HR-3 21 T,199.061178,C9H12O5,199.061197,-0.0957,[M-H]-
HR-3 21 T,199.076448,C13H12O2,199.076453,-0.026,[M-H]-
HR-3 21 T,199.170338,C12H24O2,199.170354,-0.0781,[M-H]-
HR-3 21 T,200.986248,C7H6O5S,200.986318,-0.346,[M-H]-
HR-3 21 T,201.055718,C12H10O3,201.055718,0.0013,[M-H]-
HR-3 21 T,201.092098,C13H14O2,201.092103,-0.0259,[M-H]-
HR-3 21 T,203.03497,C11H8O4,203.034982,-0.0592,[M-H]-
HR-3 21 T,203.07134,C12H12O3,203.071368,-0.1353,[M-H]-
HR-3 21 T,203.10774,C13H16O2,203.107753,-0.0637,[M-H]-
HR-3 21 T,205.050613,C11H10O4,205.050632,-0.096,[M-H]-
HR-3 21 T,205.087003,C12H14O3,205.087018,-0.0738,[M-H]-
HR-3 21 T,205.123393,C13H18O2,205.123403,-0.0517,[M-H]-
HR-3 21 T,207.029885,C10H8O5,207.029897,-0.0572,[M-H]-
HR-3 21 T,207.066275,C11H12O4,207.066282,-0.0352,[M-H]-
HR-3 21 T,207.102655,C12H16O3,207.102668,-0.0616,[M-H]-
HR-3 21 T,207.139035,C13H20O2,207.139053,-0.088,[M-H]-
HR-3 21 T,209.045528,C10H10O5,209.045547,-0.0929,[M-H]-
HR-3 21 T,209.060808,C14H10O2,209.060803,0.0214,[M-H]-
HR-3 21 T,209.081928,C11H14O4,209.081932,-0.0233,[M-H]-
HR-3 21 T,209.118308,C12H18O3,209.118318,-0.0494,[M-H]-
HR-3 21 T,211.04006,C13H8O3,211.040068,-0.0362,[M-H]-
HR-3 21 T,211.06118,C10H12O5,211.061197,-0.0804,[M-H]-
HR-3 21 T,211.07644,C14H12O2,211.076453,-0.062,[M-H]-
