Origin,m/z exp.,Chem. Formula,m/z calc.,m/z error (ppm),Ion type
HR-5 21 T,211.076443,C14H12O2,211.076453,-0.0498,[M-H]-
HR-5 21 T,211.097583,C11H16O4,211.097583,0.0006,[M-H]-
HR-5 21 T,211.133963,C12H20O3,211.133968,-0.0254,[M-H]-
HR-5 21 T,211.170353,C13H24O2,211.170354,-0.004,[M-H]-
HR-5 21 T,213.055714,C13H10O3,213.055718,-0.0195,[M-H]-
HR-5 21 T,213.076844,C10H14O5,213.076847,-0.0165,[M-H]-
HR-5 21 T,213.092094,C14H14O2,213.092103,-0.0452,[M-H]-
HR-5 21 T,213.113234,C11H18O4,213.113233,0.0047,[M-H]-
HR-5 21 T,213.149614,C12H22O3,213.149618,-0.0211,[M-H]-
HR-5 21 T,213.186004,C13H26O2,213.186004,0.0001,[M-H]-
HR-5 21 T,215.019754,C8H8O7,215.019726,0.1318,[M-H]-
HR-5 21 T,215.034975,C12H8O4,215.034982,-0.0362,[M-H]-
HR-5 21 T,215.056095,C9H12O6,215.056112,-0.0798,[M-H]-
HR-5 21 T,215.071365,C13H12O3,215.071368,-0.0152,[M-H]-
HR-5 21 T,215.092485,C10H16O5,215.092497,-0.0588,[M-H]-
HR-5 21 T,215.107745,C14H16O2,215.107753,-0.0408,[M-H]-
HR-5 21 T,215.128875,C11H20O4,215.128883,-0.0378,[M-H]-
HR-5 21 T,215.165255,C12H24O3,215.165268,-0.0633,[M-H]-
HR-5 21 T,216.066625,C12H11NO3,216.066617,0.038,[M-H]-
HR-5 21 T,216.996495,C11H6O3S,216.996488,0.0328,[M-H]-
HR-5 21 T,217.014255,C11H6O5,217.014247,0.0395,[M-H]-
HR-5 21 T,217.050635,C12H10O4,217.050632,0.0142,[M-H]-
HR-5 21 T,217.087015,C13H14O3,217.087018,-0.0111,[M-H]-
HR-5 21 T,217.108145,C10H18O5,217.108147,-0.0081,[M-H]-
HR-5 21 T,217.123405,C14H18O2,217.123403,0.0097,[M-H]-
HR-5 21 T,217.144535,C11H22O4,217.144533,0.0126,[M-H]-
