Origin,m/z exp.,Chem. Formula,m/z calc.,m/z error (ppm),Ion type
HR-1 21 T,175.040068,C10H8O3,175.040068,0.0019,[M-H]-
HR-1 21 T,175.076458,C11H12O2,175.076453,0.0275,[M-H]-
HR-1 21 T,177.019338,C9H6O4,177.019332,0.0326,[M-H]-
HR-1 21 T,177.055728,C10H10O3,177.055718,0.058,[M-H]-
HR-1 21 T,177.092108,C11H14O2,177.092103,0.0269,[M-H]-
HR-1 21 T,181.050648,C9H10O4,181.050632,0.0864,[M-H]-
HR-1 21 T,181.087028,C10H14O3,181.087018,0.056,[M-H]-
HR-1 21 T,183.066298,C9H12O4,183.066282,0.0851,[M-H]-
HR-1 21 T,185.060818,C12H10O2,185.060803,0.0804,[M-H]-
HR-1 21 T,187.040068,C11H8O3,187.040068,0.0018,[M-H]-
HR-1 21 T,187.076458,C12H12O2,187.076453,0.0258,[M-H]-
HR-1 21 T,189.055728,C11H10O3,189.055718,0.0543,[M-H]-
HR-1 21 T,189.092098,C12H14O2,189.092103,-0.0277,[M-H]-
HR-1 21 T,191.034988,C10H8O4,191.034982,0.0299,[M-H]-
HR-1 21 T,191.071368,C11H12O3,191.071368,0.0011,[M-H]-
HR-1 21 T,193.050628,C10H10O4,193.050632,-0.0226,[M-H]-
HR-1 21 T,193.087028,C11H14O3,193.087018,0.0525,[M-H]-
HR-1 21 T,195.045168,C13H8O2,195.045153,0.0767,[M-H]-
HR-1 21 T,195.066288,C10H12O4,195.066282,0.0286,[M-H]-
HR-1 21 T,195.102678,C11H16O3,195.102668,0.0516,[M-H]-
HR-1 21 T,197.060798,C13H10O2,197.060803,-0.0259,[M-H]-
HR-1 21 T,197.081938,C10H14O4,197.081932,0.028,[M-H]-
HR-1 21 T,199.007208,C8H8O4S,199.007053,0.779,[M-H]-
HR-1 21 T,199.040068,C12H8O3,199.040068,0.0017,[M-H]-
HR-1 21 T,199.061198,C9H12O5,199.061197,0.0048,[M-H]-
HR-1 21 T,199.076448,C13H12O2,199.076453,-0.026,[M-H]-
HR-1 21 T,199.170348,C12H24O2,199.170354,-0.0279,[M-H]-
HR-1 21 T,201.055718,C12H10O3,201.055718,0.0013,[M-H]-
HR-1 21 T,201.092098,C13H14O2,201.092103,-0.0259,[M-H]-
HR-1 21 T,202.050969,C11H9NO3,202.050967,0.0104,[M-H]-
HR-1 21 T,203.03498,C11H8O4,203.034982,-0.0133,[M-H]-
HR-1 21 T,203.07137,C12H12O3,203.071368,0.009,[M-H]-
HR-1 21 T,203.10775,C13H16O2,203.107753,-0.0179,[M-H]-
HR-1 21 T,204.06662,C11H11NO3,204.066617,0.018,[M-H]-
HR-1 21 T,205.014251,C10H6O5,205.014247,0.0214,[M-H]-
HR-1 21 T,205.050631,C11H10O4,205.050632,-0.0053,[M-H]-
HR-1 21 T,205.087021,C12H14O3,205.087018,0.0168,[M-H]-
HR-1 21 T,205.123401,C13H18O2,205.123403,-0.0099,[M-H]-
HR-1 21 T,207.029903,C10H8O5,207.029897,0.0291,[M-H]-
HR-1 21 T,207.066283,C11H12O4,207.066282,0.0026,[M-H]-
HR-1 21 T,207.102663,C12H16O3,207.102668,-0.0238,[M-H]-
HR-1 21 T,209.045545,C10H10O5,209.045547,-0.0112,[M-H]-
HR-1 21 T,209.060805,C14H10O2,209.060803,0.0074,[M-H]-
HR-1 21 T,209.081935,C11H14O4,209.081932,0.0105,[M-H]-
HR-1 21 T,209.118315,C12H18O3,209.118318,-0.0157,[M-H]-
HR-1 21 T,210.056066,C13H9NO2,210.056052,0.0639,[M-H]-
HR-1 21 T,211.040066,C13H8O3,211.040068,-0.0063,[M-H]-
HR-1 21 T,211.061186,C10H12O5,211.061197,-0.0506,[M-H]-
HR-1 21 T,211.076456,C14H12O2,211.076453,0.0151,[M-H]-
HR-1 21 T,211.097586,C11H16O4,211.097583,0.0182,[M-H]-
HR-1 21 T,212.035317,C12H7NO3,212.035317,0.0026,[M-H]-
HR-1 21 T,213.019338,C12H6O4,213.019332,0.0272,[M-H]-
HR-1 21 T,213.040458,C9H10O6,213.040462,-0.0167,[M-H]-
HR-1 21 T,213.055718,C13H10O3,213.055718,0.0015,[M-H]-
HR-1 21 T,213.076848,C10H14O5,213.076847,0.0046,[M-H]-
HR-1 21 T,213.092108,C14H14O2,213.092103,0.0228,[M-H]-
HR-1 21 T,215.03499,C12H8O4,215.034982,0.0346,[M-H]-
HR-1 21 T,215.05611,C9H12O6,215.056112,-0.0089,[M-H]-
HR-1 21 T,215.07137,C13H12O3,215.071368,0.0092,[M-H]-
HR-1 21 T,215.0925,C10H16O5,215.092497,0.0122,[M-H]-
HR-1 21 T,215.10776,C14H16O2,215.107753,0.0302,[M-H]-
HR-1 21 T,217.014251,C11H6O5,217.014247,0.021,[M-H]-
HR-1 21 T,217.050631,C12H10O4,217.050632,-0.0042,[M-H]-
HR-1 21 T,217.087021,C13H14O3,217.087018,0.0166,[M-H]-
HR-1 21 T,217.123411,C14H18O2,217.123403,0.0374,[M-H]-
HR-1 21 T,218.082252,C12H13NO3,218.082267,-0.0667,[M-H]-
HR-1 21 T,219.029893,C11H8O5,219.029897,-0.0175,[M-H]-
HR-1 21 T,219.045163,C15H8O2,219.045153,0.0458,[M-H]-
HR-1 21 T,219.066283,C12H12O4,219.066282,0.0031,[M-H]-
HR-1 21 T,219.102673,C13H16O3,219.102668,0.0238,[M-H]-
HR-1 21 T,219.139053,C14H20O2,219.139053,-0.0012,[M-H]-
HR-1 21 T,220.061534,C11H11NO4,220.061531,0.0114,[M-H]-
HR-1 21 T,221.009155,C10H6O6,221.009161,-0.0308,[M-H]-
HR-1 21 T,221.045555,C11H10O5,221.045547,0.0349,[M-H]-
HR-1 21 T,221.060815,C15H10O2,221.060803,0.0525,[M-H]-
HR-1 21 T,221.081935,C12H14O4,221.081932,0.0102,[M-H]-
HR-1 21 T,221.118325,C13H18O3,221.118318,0.0306,[M-H]-
HR-1 21 T,222.077186,C11H13NO4,222.077181,0.0183,[M-H]-
HR-1 21 T,223.024816,C10H8O6,223.024812,0.0212,[M-H]-
HR-1 21 T,223.040066,C14H8O3,223.040068,-0.0062,[M-H]-
HR-1 21 T,223.061206,C11H12O5,223.061197,0.0415,[M-H]-
HR-1 21 T,223.076456,C15H12O2,223.076453,0.014,[M-H]-
HR-1 21 T,223.097586,C12H16O4,223.097583,0.0169,[M-H]-
HR-1 21 T,223.133976,C13H20O3,223.133968,0.0372,[M-H]-
HR-1 21 T,224.056437,C10H11NO5,224.056446,-0.04,[M-H]-
HR-1 21 T,224.071717,C14H11NO2,224.071702,0.0666,[M-H]-
HR-1 21 T,225.019318,C13H6O4,225.019332,-0.0642,[M-H]-
HR-1 21 T,225.040468,C10H10O6,225.040462,0.0276,[M-H]-
HR-1 21 T,225.055718,C14H10O3,225.055718,0.0004,[M-H]-
HR-1 21 T,225.076848,C11H14O5,225.076847,0.0032,[M-H]-
HR-1 21 T,225.092098,C15H14O2,225.092103,-0.024,[M-H]-
HR-1 21 T,225.113238,C12H18O4,225.113233,0.0233,[M-H]-
HR-1 21 T,226.050969,C13H9NO3,226.050967,0.0082,[M-H]-
HR-1 21 T,226.072099,C10H13NO5,226.072096,0.011,[M-H]-
HR-1 21 T,227.034979,C13H8O4,227.034982,-0.0133,[M-H]-
HR-1 21 T,227.046209,C12H8N2O3,227.046216,-0.0282,[M-H]-
HR-1 21 T,227.056119,C10H12O6,227.056112,0.0335,[M-H]-
HR-1 21 T,227.071369,C14H12O3,227.071368,0.0066,[M-H]-
HR-1 21 T,227.092499,C11H16O5,227.092497,0.0094,[M-H]-
HR-1 21 T,227.107759,C15H16O2,227.107753,0.0265,[M-H]-
HR-1 21 T,227.201649,C14H28O2,227.201654,-0.019,[M-H]-
HR-1 21 T,228.03023,C12H7NO4,228.030231,-0.0057,[M-H]-
HR-1 21 T,228.06662,C13H11NO3,228.066617,0.0141,[M-H]-
HR-1 21 T,229.014251,C12H6O5,229.014247,0.0166,[M-H]-
HR-1 21 T,229.035381,C9H10O7,229.035376,0.0194,[M-H]-
HR-1 21 T,229.050631,C13H10O4,229.050632,-0.0074,[M-H]-
HR-1 21 T,229.071771,C10H14O6,229.071762,0.0391,[M-H]-
HR-1 21 T,229.087021,C14H14O3,229.087018,0.0124,[M-H]-
HR-1 21 T,229.108141,C11H18O5,229.108147,-0.0285,[M-H]-
HR-1 21 T,229.123411,C15H18O2,229.123403,0.0321,[M-H]-
HR-1 21 T,230.045881,C12H9NO4,230.045881,0.0,[M-H]-
HR-1 21 T,230.082261,C13H13NO3,230.082267,-0.0238,[M-H]-
HR-1 21 T,231.029902,C12H8O5,231.029897,0.0219,[M-H]-
HR-1 21 T,231.066282,C13H12O4,231.066282,-0.0018,[M-H]-
HR-1 21 T,231.087422,C10H16O6,231.087412,0.0442,[M-H]-
HR-1 21 T,231.102672,C14H16O3,231.102668,0.0177,[M-H]-
HR-1 21 T,231.139052,C15H20O2,231.139053,-0.006,[M-H]-
HR-1 21 T,232.061533,C12H11NO4,232.061531,0.0053,[M-H]-
HR-1 21 T,232.097923,C13H15NO3,232.097917,0.0248,[M-H]-
HR-1 21 T,233.009183,C11H6O6,233.009161,0.0933,[M-H]-
HR-1 21 T,233.045553,C12H10O5,233.045547,0.0269,[M-H]-
HR-1 21 T,233.060813,C16H10O2,233.060803,0.0435,[M-H]-
HR-1 21 T,233.081933,C13H14O4,233.081932,0.0033,[M-H]-
HR-1 21 T,233.118323,C14H18O3,233.118318,0.0227,[M-H]-
HR-1 21 T,233.154713,C15H22O2,233.154703,0.0421,[M-H]-
HR-1 21 T,234.077184,C12H13NO4,234.077181,0.0103,[M-H]-
HR-1 21 T,235.024824,C11H8O6,235.024812,0.0548,[M-H]-
HR-1 21 T,235.040084,C15H8O3,235.040068,0.0713,[M-H]-
HR-1 21 T,235.061204,C12H12O5,235.061197,0.0315,[M-H]-
HR-1 21 T,235.076454,C16H12O2,235.076453,0.0054,[M-H]-
HR-1 21 T,235.097584,C13H16O4,235.097583,0.0082,[M-H]-
HR-1 21 T,235.133974,C14H20O3,235.133968,0.0274,[M-H]-
HR-1 21 T,236.092835,C12H15NO4,236.092832,0.0149,[M-H]-
HR-1 21 T,237.004086,C10H6O7,237.004076,0.04,[M-H]-
HR-1 21 T,237.040466,C11H10O6,237.040462,0.0168,[M-H]-
HR-1 21 T,237.055716,C15H10O3,237.055718,-0.009,[M-H]-
HR-1 21 T,237.076856,C12H14O5,237.076847,0.0359,[M-H]-
HR-1 21 T,237.092106,C16H14O2,237.092103,0.01,[M-H]-
HR-1 21 T,237.113236,C13H18O4,237.113233,0.0127,[M-H]-
HR-1 21 T,237.149616,C14H22O3,237.149618,-0.0104,[M-H]-
HR-1 21 T,238.050976,C14H9NO3,238.050967,0.0397,[M-H]-
HR-1 21 T,238.072106,C11H13NO5,238.072096,0.0424,[M-H]-
HR-1 21 T,238.087356,C15H13NO2,238.087352,0.0166,[M-H]-
HR-1 21 T,239.019737,C10H8O7,239.019726,0.044,[M-H]-
HR-1 21 T,239.034987,C14H8O4,239.034982,0.0184,[M-H]-
HR-1 21 T,239.038357,C11H12O4S,239.038353,0.015,[M-H]-
HR-1 21 T,239.056117,C11H12O6,239.056112,0.0211,[M-H]-
HR-1 21 T,239.071367,C15H12O3,239.071368,-0.0045,[M-H]-
HR-1 21 T,239.092497,C12H16O5,239.092497,-0.0019,[M-H]-
